date,headline,paper,sentiment_SPD_en,sentiment_Bundeswehr,sentiment_Ukraine,sentiment_climate,sentiment_CDU_en,sentiment_Migration_en,sentiment_education,sentiment_AfD_en,sentiment_right wing extremism,sentiment_leaflet affair,sentiment_heating,sentiment_Linke_en,sentiment_Freie_Wähler_en,sentiment_Die_Grünen_en,sentiment_Border control,sentiment_foreign policy,sentiment_EU,sentiment_FDP_en,sentiment_tax,sentiment_housing,sentiment_medication,sentiment_whole,headline_en_prep
2023-09-07 00:00:00,Freie Wähler BaWü: Imageschaden durch Aiwanger?,tagesschau,,,,,,,,,,,,,-0.8796506524085999,,,,,,,,,0.0258,free elector buw image damage aiwanger
2023-09-07 00:00:00,Bundesverwaltungsgericht : Anlasslose Vorratsdatenspeicherung ist rechtswidrig,tagesschau,,,,,,,,,,,,,,,,,,,,,,-0.7184,federal administrative court uncertainty storage data illegal
2023-09-07 00:00:00,Innenausschuss zu Schönbohm-Absetzung: Faeser fehlt erneut - Union übt Kritik,tagesschau,-0.961755871772766,,,,,,,,,,,,,,,,,,,,,-0.6249,internal committee schnbohm submission faeser missing union practice criticism
2023-09-07 00:00:00,"Sparmaßnahmen im Bildungsbereich: ""Eine absolut falsche Entscheidung""",tagesschau,,,,,,,-0.9272962808609009,,,,,,,,,,,,,,,-0.5256,economic measure field education absolutely wrong decision
2023-09-07 00:00:00,Zentralrat der Juden: Aiwanger und Schuster wollen sich treffen,tagesschau,,,,,,,,,,,,,0.0,,,,,,,,,0.0772,central council jew aiwanger schuster want meet
2023-09-07 00:00:00,Flugblatt-Affäre um Aiwanger: Schweigen und Kritik in Bayerns Landtag,tagesschau,,,,,,,,,,,,,-0.5588489174842834,,,,,,,,,-0.4404,flightblatt affair aiwanger silence criticism bavarian landtag
2023-09-07 00:00:00,Beratungen in Brüssel: Länderchefs geschlossen für Industriestrompreis,tagesschau,,,,,,,,,,,,,,,,,,,,,,0.0,consultation brussels leader closed industrial break price
2023-09-07 00:00:00,Haushaltsdebatte im Bundestag: Lauterbach verteidigt Reformen und geschrumpften Etat,tagesschau,0.0,,,,,,,,,,,,,,,,,,,,,0.0,budget debate bundestag lauterbach defends reform shortened state
2023-09-07 00:00:00,"Scholz' ""Deutschland-Pakt"": Zustimmung bei Arbeitgebern und Ländern - Merz skeptisch",tagesschau,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.2263,scholz germany pact agreement among employer country merz skeptical
2023-09-07 00:00:00,Pläne Lauterbachs: Warum eine Notfall-Reform überfällig ist,tagesschau,0.5809512138366699,,,,,,,,,,,,,,,,,,,,,-0.3818,lauterbachs plan emergency reform overwhelming
2023-09-07 00:00:00,Steuerskandal um Warburg-Bank : Union treibt Scholz mit Klage vor sich her,tagesschau,0.0,,,,,,,,,,,,,,,,,,-0.9229970574378968,,,-0.6249,tax scandal warburgbank union drive scholz complaint
2023-09-08 00:00:00,Thüringen: Immunität Höckes zum siebten Mal aufgehoben,tagesschau,,,,,,,,,,,,,,,,,,,,,,-0.25,thringen hockes immunity cancelled seventh time
2023-09-08 00:00:00,Kritik an Faeser: Worum es bei der Causa Schönbohm geht,tagesschau,0.0,,,,,,,,,,,,,,,,,,,,,-0.4404,criticism faeser causa schnbohm
2023-09-08 00:00:00,Überlastete Ausländerbehörden: Bis zu 15 Stunden Warten für einen Termin,tagesschau,,,,,,,,,,,,,,,,,,,,,,0.0772,extraterrestrial authority hour waiting date
2023-09-08 00:00:00,Debatte im Bundestag: Viel Kritik an Heils Sparplänen im Sozialetat,tagesschau,-0.8425169587135315,,,,,,,,,,,,,,,,,,,,,-0.4404,debate bundestag lot criticism heils saving plan social state
2023-09-08 00:00:00,Debatte um sichere Herkunftsstaaten: Baerbock lehnt Ausweitung ab,tagesschau,,,,,,,,,,,,,,,,,,,,,,0.1779,debate safe country origin baerbock refuse expansion
2023-09-08 00:00:00,"Höchststand seit 1950-er Jahren: 3,3 Millionen Geflüchtete leben in Deutschland",tagesschau,,,,,,,,,,,,,,,,,,,,,,0.0,maximum since million refugee live germany
2023-09-08 00:00:00,Causa Schönbohm: SPD stärkt Ministerin Faeser den Rücken,tagesschau,0.5574631690979004,,,,,,,,,,,,,,,,,,,,,0.4588,causa schnbohm spd strengthens minister faesers back
2023-09-08 00:00:00,Umstrittenes Vorhaben: Bundestag stimmt über Heizungsgesetz ab,tagesschau,,,,,,,,,,,0.0,,,,,,,,,,,0.4019,bundestag approves heating law
2023-09-08 00:00:00,"Haushalt: ""Beim Bürgergeld ist etwas gelungen, beim Mindestlohn nicht""",tagesschau,,,,,,,,,,,,,,,,,,,,,,0.4215,budget there something succeeded public money minimum wage
2023-09-09 00:00:00,Umfrage zum Lehrermangel: Deutschland fehlen knapp 14.500 Lehrkräfte,tagesschau,,,,,,,0.0,,,,,,,,,,,,,,,-0.3182,study germany lack teacher
2023-09-09 00:00:00,Unterbringung für Geflüchtete: Aus Turnhallen werden wieder Unterkünfte,tagesschau,,,,,,,,,,,,,,,,,,,,,,0.0,accommodation refugee tournament hall resettled
2023-09-10 00:00:00,Oberbürgermeisterwahl in Nordhausen: AfD-Kandidat liegt vorn - Stichwahl nötig,tagesschau,,,,,,,,0.0,,,,,,,,,,,,,,0.0,mayor election nordhausen afd candidate front key choice required
2023-09-10 00:00:00,Details zum Aus von BSI-Präsident: Warum Faeser das Vertrauen zu Schönbohm verlor,tagesschau,-0.9213321208953856,,,,,,,,,,,,,,,,,,,,,0.25,bsi president faeser lost trust schnbohm
2023-09-10 00:00:00,"Weidel im ARD-Sommerinterview: ""Diese Regierung handelt idiotisch""",tagesschau,,,,,,,,0.0,,,,,,,,,,,,,,-0.4588,weidel ards summer interview government act stupidly
2023-09-10 00:00:00,Väterreport des Familienministeriums: Väter wollen mehr Kinderbetreuung übernehmen,tagesschau,,,,,,,0.5506272315979004,,,,,,,,,,,,,,,0.5423,father report ministry family father want take child care
2023-09-10 00:00:00,Gespräche mit Freie-Wähler-Chef: Jüdische Gemeinden zu Treffen mit Aiwanger uneins,tagesschau,,,,,,,,,,,,,0.0,,,,,,,,,0.5106,talk free electoral chief jewish community meet aiwanger
2023-09-10 00:00:00,AfD-Fraktionsvorsitzende Weidel: Frau der Widersprüche,tagesschau,,,,,,,,0.0,,,,,,,,,,,,,,-0.25,afd group chairman weidel woman contradiction
2023-09-11 00:00:00,"Netzausbau: ""Wir sind zum Erfolg verdammt""",tagesschau,,,,,,,,,,,,,,,,,,,,,,0.2023,network condemned success
2023-09-11 00:00:00,Trend setzt sich fort: Erneut mehr Abtreibungen in Deutschland,tagesschau,,,,,,,,,,,,,,,,,,,,,,0.0,trend continues abortion germany
2023-09-11 00:00:00,Erklärung von Bundesbeauftragten: Sorge über wachsende Hasskriminalität,tagesschau,,,,,,,,,,,,,,,,,,,,,,-0.0258,federal commissioner declaration fear growing ha criminality
2023-09-11 00:00:00,"Tag der Wohnungslosen: ""Keinerlei Anzeichen für eine Verbesserung""",tagesschau,,,,,,,,,,,,,,,,,,,,,,0.7184,home sign improvement sign improvement
2023-09-11 00:00:00,11KM: Wie Rechtsextreme an Spenden kommen,tagesschau,,,,,,,,,,,,,,,,,,,,,,0.0,km right extreme come donation
2023-09-12 00:00:00, BayernTrend vor Landtagswahl: Rekordhoch für Freie Wähler - CSU büßt ein,tagesschau,,,,,0.7751415967941284,,,,,,,,,,,,,,,,,0.5106,bayerntrend country election record high free voter csu
2023-09-12 00:00:00,"Steinmeier kritisiert Abbas-Rede: ""Die Äußerungen sind zutiefst antisemitisch""",tagesschau,,,,,,,,,,-0.5971497893333435,,,,,,,,,,,,-0.34,steinmeier criticizes abbas speech statement deeply antisemitic
2023-09-12 00:00:00,Runder Tisch mit Lauterbach: Leichterer Zugang zu Medikamenten bei Long Covid geplant,tagesschau,0.0,,,,,,,,,,,,,,,,,,,,,0.4215,round table lauterbach easier access medication planned long covid
2023-09-12 00:00:00,Thüringen: Lebenslange Haft für Brandstifter von Apolda,tagesschau,,,,,,,,,,,,,,,,,,,,,,0.0,thringen life imprisonment apolda firefighter
2023-09-12 00:00:00,Studie zu Ampelregierung: Respektable Bilanz - aber schlechtes Image,tagesschau,,,,,,,,,,,,,,,,,,,,,,-0.128,study lighting government respectful balance bad image
2023-09-12 00:00:00,Bundeskanzler ohne Augenklappe: Scholz verabschiedet sich vom Piraten-Look,tagesschau,0.0,,,,,,,,,,,,,,,,,,,,,0.0,federal chancellor without eye clap scholz goodbye pirate look
2023-09-12 00:00:00,Familienministerin: Paus will mentale Gesundheit von Schülern stärken,tagesschau,,,,,,,0.90129816532135,,,,,,,,,,,,,,,0.3818,family minister pope want strengthen student mental health
2023-09-12 00:00:00,Spitzentreffen mit Lauterbach : Wo es bei der Versorgung von Long-Covid-Patienten hakt,tagesschau,-0.6068344116210938,,,,,,,,,,,,,,,,,,,,,-0.3818,top meeting lauterbach hurt supply longcovid patient
2023-09-13 00:00:00,Verwendung von NS-Vokabular: Thüringer AfD-Chef Höcke muss vor Gericht,tagesschau,,,,,,,,0.0,,,,,,,,,,,,,,0.0,use n vocabulary thringer afd chief hcke must go court
2023-09-13 00:00:00,Sozialleistungen: Kabinett beschließt Bürgergeld-Erhöhung,tagesschau,,,,,,,,,,,,,,,,,,,,,,0.4588,social benefit cabinet decides raise citizen fund
2023-09-13 00:00:00,Beschluss des Bundeskabinetts: Transparenzverzeichnis für Kliniken kann kommen,tagesschau,,,,,,,,,,,,,,,,,,,,,,0.0,federal cabinet decision transparency list clinic may come
2023-09-13 00:00:00,"Aktionen der ""Letzten Generation"": Blockierte Realität",tagesschau,,,,,,,,,,,,,,,,,,,,,,-0.2732,action last generation blocked reality
2023-09-13 00:00:00,Bundesregierung: Beschluss zur Kindergrundsicherung vertagt,tagesschau,,,,,,,0.0,,,,,,,,,,,,,,,0.0,federal government decision fundamental child insurance
2023-09-13 00:00:00,60 Jahre Parteimitgliedschaft: SPD ehrt Ex-Kanzler Schröder doch,tagesschau,0.0,,,,,,,,,,,,,,,,,,,,,0.7096,year party membership spd honor former chancellor schrder
2023-09-13 00:00:00,"11KM: Nahost-Konflikt - ein Handschlag, aber kein Frieden",tagesschau,,,,,,,,,,,,,,,,,,,,,,0.296,km middle east conflict handheld peace
2023-09-13 00:00:00,OB-Wahl in Nordhausen: Wie die AfD die Provinz erobern will,tagesschau,,,,,,,,0.0,,,,,,,,,,,,,,0.0772,ob election nordhausen afd want conquer province
2023-09-14 00:00:00,Abstimmung zur Steuersenkung in Thüringen: Zwischen Entsetzen und Applaus,tagesschau,,,,,,,,,,,,,,,,,,,-0.5682754516601562,,,-0.2263,voting tax reduction thringen anger applause
2023-09-14 00:00:00,Thüringen: CDU setzt mit AfD und FDP Steuersenkung durch,tagesschau,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,thringen cdu reduce tax afd fdp
2023-09-14 00:00:00,Kindergrundsicherung: Armutsbekämpfung aufgeschoben?,tagesschau,,,,,,,0.8355768918991089,,,,,,,,,,,,,,,-0.6486,childrens fundamental security fight poverty postponed
2023-09-14 00:00:00,Lauterbach zu Medikamentenknappheit: Mit einem Fünf-Punkte-Plan gegen den Mangel,tagesschau,-0.6460171341896057,,,,,,,,,,,,,,,,,,,,,0.0,lauterbach drug deficiency fivepoint plan deficiency
2023-09-14 00:00:00,"Brief an Scholz und Pistorius: Ampel-Abgeordnete fordern ""Taurus""-Lieferung an Ukraine",tagesschau,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,letter scholz pistorius ampel member require taurus delivery ukraine
2023-09-14 00:00:00,"Lauterbach zu Arznei-Engpässen: ""Wir sind deutlich besser aufgestellt""",tagesschau,0.0,,,,,,,,,,,,,,,,,,,,,0.4404,lauterbach much better positioned
2023-09-14 00:00:00,Bundesweiter Warntag: Sirenen und schrillende Handys,tagesschau,,,,,,,,,,,,,,,,,,,,,,-0.6124,federal warning day sirenes screaming phone
2023-09-14 00:00:00,Bundesweiter Warntag: Deutschland macht Alarm,tagesschau,,,,,,,,,,,,,,,,,,,,,,-0.5859,federal warning day germany make alarm
2023-09-14 00:00:00,"Grüne Jugend an ""Letzte Generation"": ""Arbeitskämpfe sind besser als Straßenblockaden""",tagesschau,,,,,,,,,,,,,,0.8431323766708374,,,,,,,,0.0,green youth last generation working better road block
2023-09-14 00:00:00,Apothekerverband Nordrhein: Medikamentenmangel trifft täglich Tausende,tagesschau,,,,,,,,,,,,,,,,,0.0,,,,,-0.3182,pharmaceutical association north rhine lack drug meet thousand every day
